Link to PDF,Category,Subcategory,Rule,Notes,Example?
Typography,Typography,Headlines,Use Manrope Bold/ExtraBold for H1-H4,"Strong geometric sans; modern, confident; white text #FFFFFF",Manrope Bold/ExtraBold
https://drive.google.com/file/d/1D-eM84wPgykZBErps8Ut6qBi5vlv51Hu/view?usp=sharing,Typography,Body Text,Use Inter Regular/Medium for paragraphs,Clean UI font; readable on dark backgrounds; body color #CCCCCC,Inter Regular/Medium
,Typography,Stats,"Use IBM Plex Mono Medium for numbers, XP, rankings",Monospaced numerals signal system-based structure; gold color #FFD873,IMB Plex Mono
,Typography,Labels,Inter Medium 12–14px for UI labels,Low emphasis text uses #777777,Inter Medium 12-14px
,Typography,Examples,Include PDF reference typography spec,See rank_typography_spec.pdf for visual examples,
Color Palette,Color Palette,Neutral,Soft Gray (#5C5C5C),"Metadata, labels",
https://drive.google.com/file/d/16qeSrU_84UIc7tlIsmUX-sZzVn2u6uXA/view?usp=sharing,Color Palette,Neutral,Warm White (#F2F2F2),Primary text for readability,
,Color Palette,Highlight,Flare Yellow (#FFD873),"Coins, special unlocks, rarity signals",
,Layout & Spacing,Grid,12-column grid (1200–1400px max width),Ensures consistent desktop structure,
,Layout & Spacing,Spacing Scale,8 / 16 / 24 / 40 px increments,Maintains rhythm and balance,
,Layout & Spacing,Page Rhythm,"Wide horizontal spacing, generous breathing room",Never cluttered; prioritizes clarity,
,Cards,Style,Deep charcoal base (#1A1A1A),Differentiates modules without bright retail energy,
,Cards,Corners,8–12px radius,Soft premium feel,
,Cards,Shadow,"Diffused, subtle, wide spread",Creates depth without harshness,
,Cards,Glow,Inner glow for importance,"Used sparingly for XP, rank, identity moments",
,Cards,Avoid,No ecommerce-style product tiles,Rank is not commerce,
,Iconography,Style,"Minimal, line-based, geometric icons",Avoid emojis or bubbly icons,
,Iconography,Weight,Match headline thickness,Ensures visual cohesion,
,Glow & Lighting,XP Glow,Soft amber gradient shimmer,Signals progression,
,Glow & Lighting,Badge Glow,Small flare around rank or rarity,Symbolic reward moments,
,Glow & Lighting,Rules,Never glow everything,"Glow = prestige, restraint is key",
,Imagery,Primary,"Abstract textures, gradients, elemental heat visuals",Represents flavor energy,
,Imagery,Secondary,"Macro jerky textures, spice close-ups",Sparingly used; never full product shots,
,Imagery,Avoid,No ecommerce product cards or bag mockups,That belongs to Jerky.com,
,Motion,Microinteractions,"XP bar shimmer, podium glow pulse, hover shine",Adds life to UI,
,Motion,Transitions,"Smooth, easing curves",Game-like polish,
,Motion,Avoid,Excessive bounce or cartoon motion,Keep mature and premium,
,Voice,Tone,"Short, punchy, confident",Never salesy,
,Voice,Vocabulary,"Rank, XP, Discover, Unlock, Top Flavors, Identity","Game verbs, not retail verbs",
,Voice,Avoid,"Marketing fluff, long paragraphs, product descriptions",Rank is not ecommerce,
,Emotion,Mastery,User feels progression and leveling up,Reinforce via XP and unlock visuals,
,Emotion,Identity,User sees themselves in the system,"Titles, streaks, badges",
,Emotion,Belonging,Part of the Taste Tester world,"Status, tenure, signals",
,Emotion,Status,Achievements feel earned,"Badges, coins",
,Emotion,Curiosity,Encourage exploration,"Drops, rankings",
,Emotion,Exclusivity,Taste Testers get rare access,Design emphasizes importance,
